nombre,codigo,descripcion,tipo_unidad,tipo
"PLATINA 1"" X 1 1/8",H1397,"PLATINA 1"" X 1 1/8",UND,Inventario
REGULADOR PRIMERA 6KL 1/4X1/4,H1398,REGULADOR PRIMERA 6KL 1/4X1/4,UND,Inventario
ROSCA PARA TUBO 2 1/2,H1399,ROSCA PARA TUBO 2 1/2,UND,Inventario
CODO PVC ROSCABLE  MACHO 90X20X1-2 AZUL,H1400,CODO PVC ROSCABLE  MACHO 90X20X1-2 AZUL,UND,Inventario
TUBO TF AMARILLO PARA GAS,H1401,TUBO TF AMARILLO PARA GAS,UND,Inventario
VALVULA ESFERA PALANCA 1 1/2,H1402,VALVULA ESFERA PALANCA 1 1/2,UND,Inventario
CODO 1/2 X 90 AMARILLO,H1403,CODO 1/2 X 90 AMARILLO,UND,Inventario
REDUCCION CONCENTRICA RANURADA ULFM 3X 1 1/2,H1404,REDUCCION CONCENTRICA RANURADA ULFM 3X 1 1/2,UND,Inventario
ELECTRODOS 7018,H1405,ELECTRODOS 7018,UND,Inventario
CONECTOR COFLEX GAS PIG TAIL 100 CMS ,H1406,CONECTOR COFLEX GAS PIG TAIL 100 CMS ,UND,Inventario
"FF6 TACO FISHER NRO 6 (1/4"")",H1407,"FF6 TACO FISHER NRO 6 (1/4"")",UND,Inventario
CODO SOHI 3/4X90,H1408,CODO SOHI 3/4X90,UND,Inventario
MANOMETRO CON GLICERINA 240 PSI CON GLICERINA,H1409,MANOMETRO CON GLICERINA 240 PSI CON GLICERINA,UND,Inventario
PLASTICO STRECH DE 30X18U,H1410,PLASTICO STRECH DE 30X18U,UND,Inventario
TUBO GAS PEALPE,H1411,TUBO GAS PEALPE,UND,Inventario
"TUBO CED 40 1 1/4""",H1412,"TUBO CED 40 1 1/4""",UND,Inventario
"NEPLO  BR 1/2 X 3/8"" 8 H (RHM-1238) ",H1413,"NEPLO  BR 1/2 X 3/8"" 8 H (RHM-1238) ",UND,Inventario
REGUALDOR RECA 988 ALTA PRESION VERDE,H1414,REGUALDOR RECA 988 ALTA PRESION VERDE,UND,Inventario
FLOTADOR BR 1/2 BOYA COB,H1415,FLOTADOR BR 1/2 BOYA COB,UND,Inventario
"TEE MECANICA RANURADA 3X2""",H1416,"TEE MECANICA RANURADA 3X2""",UND,Inventario
ADAPATADOR TF M 20X 1-2 AZUL,H1417,ADAPATADOR TF M 20X 1-2 AZUL,UND,Inventario
"AMARRA PLASTICA DE 12""X3",H1418,"AMARRA PLASTICA DE 12""X3",UND,Inventario
PLASTICO STRECH TRANS 15.5CM X 1KL,H1419,PLASTICO STRECH TRANS 15.5CM X 1KL,UND,Inventario
UNION PE 3/4,H1420,UNION PE 3/4,UND,Inventario
NEPLO AC 2 1/2 X 5,H1421,NEPLO AC 2 1/2 X 5,UND,Inventario
TANQUE BIODIGESTOR 600 L ROTOPLAST,H1422,TANQUE BIODIGESTOR 600 L ROTOPLAST,UND,Inventario
